CDI;IPCA;IMAB5;IMAB5P;IMAS;IRFM;iBovespa;Cambio
17,99;5,69;12,05;14,37;19,71;19,54;27,73;-11,82
13,17;3,14;20,8;28,33;15,24;18,3;32,92;-8,66
11,12;4,46;13,17;19,1;11,91;10,73;43,65;-17,15
13,62;5,9;13,79;7,5;12,4;13,88;-41,23;31,94
8,55;4,31;14,97;23,52;9,96;12,47;82,64;-25,49
10,64;5,91;13,04;21,85;9,77;11,87;1,05;-4,31
10,87;6,5;15,69;14,48;11,63;14,45;-18,11;12,58
6,9;5,84;16,98;34,21;8,5;14,3;7,38;8,94
9,77;5,91;2,78;-17,07;8,2;2,61;-15,51;14,64
11,57;6,41;11,64;16,6;10,82;11,4;-2,91;13,39
14,14;10,67;15,46;5,71;13,27;7,13;-13,3;47,01
13,63;6,29;15,48;31,04;13,84;23,37;38,91;-16,54
6,89;2,95;12,58;12,75;10,16;15,2;26,84;1,5
